date,elec
1996M11,78254.989
1996M12,93730.877
1997M01,106136.914
1997M02,90250.608
1997M03,81421.382
1997M04,72742.693
1997M05,70778.291
1997M06,83584.675
1997M07,109331.113
1997M08,106969.521
1997M09,94801.485
1997M10,84121.858
1997M11,79993.506
1997M12,95748.044
1998M01,102540.723
1998M02,86555.7
1998M03,85985.926
1998M04,74195.027
1998M05,77518.212
1998M06,98444.505
1998M07,121472.246
1998M08,120267.59
1998M09,106640.88
1998M10,86822.931
1998M11,77017.878
1998M12,92647.504
1999M01,111219.421
1999M02,86705.02
1999M03,89449.806
1999M04,77284.992
1999M05,77151.744
1999M06,95915.315
1999M07,123125.527
1999M08,123959.802
1999M09,104054.558
1999M10,82605.199
1999M11,78288.256
1999M12,95163.428
2000M01,109492.092
2000M02,98445.856
2000M03,84645.024
2000M04,76228.447
2000M05,83366.309
2000M06,103976.431
2000M07,119475.312
2000M08,123769.355
2000M09,108546.418
2000M10,86831.636
2000M11,84516.247
2000M12,113153.364
2001M01,127080.028
2001M02,99875.586
2001M03,92816.131
2001M04,82438.262
2001M05,81755.576
2001M06,99409.924
2001M07,120695.088
2001M08,129189.801
2001M09,105956.424
2001M10,85424.56
2001M11,80798.47
2001M12,96166.742
2002M01,116891.801
2002M02,96592.933
2002M03,95318.667
2002M04,85407.607
2002M05,87318.539
2002M06,107169.995
2002M07,133694.801
2002M08,134332.468
2002M09,115833.033
2002M10,94531.343
2002M11,88822.303
2002M12,109266.379
2003M01,124272.788
2003M02,110937.37
2003M03,99561.312
2003M04,83448.244
2003M05,87804.372
2003M06,101285.792
2003M07,130673.857
2003M08,134467.799
2003M09,113848.983
2003M10,89780.86
2003M11,86658.681
2003M12,113083.851
2004M01,127121.383
2004M02,112464.055
2004M03,98947.207
2004M04,85376.865
2004M05,90598.212
2004M06,112335.133
2004M07,129305.347
2004M08,126423.34
2004M09,112337.694
2004M10,93466.169
2004M11,89649.741
2004M12,113956.432
2005M01,125287.859
2005M02,106666.913
2005M03,104065.203
2005M04,86749.16
2005M05,87384.112
2005M06,116627.438
2005M07,144476.336
2005M08,146904.78
2005M09,126515.635
2005M10,102685.879
2005M11,91686.571
2005M12,120177.221
2006M01,120418.845
2006M02,104511.063
2006M03,104955.192
2006M04,89374.095
2006M05,93999.951
2006M06,118815.308
2006M07,147338.329
2006M08,150064.425
2006M09,116072.164
2006M10,96246.214
2006M11,94842.851
2006M12,114881.599
2007M01,125286.236
2007M02,121464.249
2007M03,105694.76
2007M04,90282.047
2007M05,96388.854
2007M06,117417.595
2007M07,139027.03
2007M08,150101.494
2007M09,129512.024
2007M10,103753.922
2007M11,95904.831
2007M12,117407.955
2008M01,132938.174
2008M02,118470.786
2008M03,107056.85
2008M04,91976.703
2008M05,92018.296
2008M06,121136.873
2008M07,143269.372
2008M08,138764.503
2008M09,117588.918
2008M10,96092.696
2008M11,95665.266
2008M12,125002.668
2009M01,136079.702
2009M02,115535.554
2009M03,106543.598
2009M04,91472.626
2009M05,94180.397
2009M06,114347.011
2009M07,137681.141
2009M08,138447.35
2009M09,115372.488
2009M10,98522.481
2009M11,92721.753
2009M12,123570.316
2010M01,147499.853
2010M02,122840.217
2010M03,111790.102
2010M04,88046.49
2010M05,94843.071
2010M06,127495.553
2010M07,154688.297
2010M08,154053.276
2010M09,124582.492
2010M10,96688.059
2010M11,93166.141
2010M12,130014.852
2011M01,145053.974
2011M02,120121.26
2011M03,104920.811
2011M04,93700.352
2011M05,97688.439
2011M06,125982.664
2011M07,154728.786
2011M08,153738.608
2011M09,122719.626
2011M10,94585.064
2011M11,93220.237
2011M12,116341.274
