"Y1"	"Y10"	"Y20"	"Y30"
5.57	5.58	5.44	NA
5.75	5.7	5.56	NA
6.19	6.03	5.88	NA
6.34	6.04	5.99	NA
6.41	6.19	6.11	NA
6.34	6.3	6.22	NA
6.26	6.17	6.03	NA
6.42	6.32	6.11	NA
7.04	6.57	6.28	NA
7.6	6.72	6.27	NA
7.54	6.69	6.22	NA
7.82	7.16	6.55	NA
7.64	7.1	6.49	NA
7.89	7.14	6.74	NA
8.17	7.65	6.91	NA
8.1	7.79	6.92	NA
7.59	7.24	6.67	NA
6.97	7.07	6.72	NA
7.06	7.39	6.85	NA
7.75	7.91	7.24	NA
7.55	7.84	7.34	NA
7.1	7.46	6.92	NA
6.98	7.53	7.07	NA
6.73	7.39	6.88	NA
6.43	7.33	6.88	NA
5.51	6.84	6.58	NA
5	6.39	6.28	NA
4.57	6.24	6.18	NA
3.89	6.11	6.14	NA
3.69	5.7	5.94	NA
4.3	5.83	6	NA
5.04	6.39	6.32	NA
5.64	6.52	6.38	NA
6.04	6.73	6.38	NA
5.8	6.58	6.27	NA
5.41	6.14	6.05	NA
4.91	5.93	5.92	NA
4.67	5.81	5.86	NA
4.6	5.93	6	NA
4.28	5.95	6.01	NA
4.27	6.08	6.06	NA
4.67	6.07	6.06	NA
4.96	6.19	6.16	NA
4.64	6.13	6.07	NA
4.93	6.11	6.01	NA
4.96	6.11	6.01	NA
4.98	6.21	5.94	NA
5.52	6.55	6.05	NA
5.52	6.48	6	NA
5.27	6.28	5.79	NA
5.52	6.36	5.96	NA
5.89	6.46	6.78	NA
6.19	6.64	6.88	NA
6.85	6.71	6.91	NA
6.85	6.67	6.86	NA
6.89	6.85	6.99	NA
7.31	6.9	7.06	NA
8.39	7.13	7.29	NA
8.82	7.4	7.61	NA
8.31	7.09	7.25	NA
7.4	6.79	7.18	NA
7.57	6.73	7.3	NA
7.27	6.74	7.29	NA
7.42	6.99	7.47	NA
6.88	6.96	7.46	NA
7.76	7.21	7.73	NA
8.62	7.51	8.01	NA
8.78	7.58	8.14	NA
8.67	7.54	8.1	NA
8.8	7.81	8.26	NA
9.36	8.04	8.6	NA
8.87	8.04	8.59	NA
8.05	7.9	8.37	NA
7.66	7.68	7.98	NA
7.31	7.43	7.91	NA
6.83	7.5	7.88	NA
5.98	7.39	7.71	NA
6.11	7.73	7.99	NA
6.9	8.23	8.36	NA
6.39	8.06	8.22	NA
6.29	7.86	8.04	NA
7.11	8.06	8.17	NA
7.7	8.4	8.5	NA
7.75	8.43	8.57	NA
6.95	8.14	8.35	NA
6.49	8.05	8.28	NA
6.6	8	8.23	NA
5.81	7.74	8.01	NA
5.91	7.79	8.03	NA
6.21	7.73	7.97	NA
5.92	7.56	7.86	NA
6.4	7.9	8.13	NA
6.52	7.86	8.03	NA
6.2	7.83	8	NA
6	7.77	7.91	NA
5.84	7.59	7.78	NA
5.5	7.41	7.7	NA
5.29	7.29	7.64	NA
4.89	6.87	7.3	NA
5.29	7.21	7.48	NA
5.47	7.39	7.64	7.75
5.5	7.46	7.73	7.8
5.44	7.37	7.67	7.73
5.84	7.46	7.74	7.8
5.8	7.28	7.64	7.64
5.94	7.33	7.6	7.64
6.37	7.4	7.64	7.68
6.53	7.34	7.57	7.64
6.97	7.52	7.71	7.77
6.95	7.58	7.76	7.85
6.96	7.69	7.87	7.94
7.28	7.96	8.14	8.18
7.34	8.03	8.22	8.25
7.31	8.04	8.21	8.23
7.45	8.15	8.32	8.34
7.82	8.35	8.44	8.43
8.09	8.46	8.53	8.5
8.39	8.64	8.69	8.65
8.31	8.41	8.45	8.47
8.64	8.42	8.47	8.47
9.14	8.64	8.69	8.67
10.01	8.81	8.75	8.75
10.3	9.01	8.9	8.88
10.41	9.1	8.98	8.94
10.24	9.1	9.03	9
10.25	9.12	9.08	9.03
10.12	9.18	9.12	9.08
10.12	9.25	9.21	9.19
9.57	8.91	8.91	8.92
9.64	8.95	8.92	8.93
9.98	9.03	8.97	8.98
10.84	9.33	9.21	9.17
12.44	10.3	9.99	9.85
12.39	10.65	10.37	10.3
11.98	10.39	10.18	10.12
12.06	10.8	10.65	10.6
13.92	12.41	12.21	12.13
15.82	12.75	12.49	12.34
13.3	11.47	11.42	11.4
9.39	10.18	10.44	10.36
8.16	9.78	9.89	9.81
8.65	10.25	10.32	10.24
10.24	11.1	11.07	11
11.52	11.51	11.47	11.34
12.49	11.75	11.75	11.59
14.15	12.68	12.44	12.37
14.88	12.84	12.49	12.4
14.08	12.57	12.29	12.14
14.57	13.19	12.98	12.8
13.71	13.12	12.94	12.69
14.32	13.68	13.46	13.2
16.2	14.1	13.82	13.6
14.86	13.47	13.2	12.96
15.72	14.28	13.92	13.59
16.72	14.94	14.52	14.17
16.52	15.32	15.07	14.67
15.38	15.15	15.13	14.68
12.41	13.39	13.56	13.35
12.85	13.72	13.73	13.45
14.32	14.59	14.57	14.22
14.73	14.43	14.48	14.22
13.95	13.86	13.75	13.53
13.98	13.87	13.57	13.37
13.34	13.62	13.46	13.24
14.07	14.3	14.18	13.92
