DATE,CarSale
2018-08-01,10352
2018-09-01,9210
2018-10-01,9383
2018-11-01,8923
2018-12-01,8629
2019-01-01,9135
2019-02-01,10005
2019-03-01,12250
2019-04-01,10630
2019-05-01,10805
2019-06-01,10316
2019-07-01,10491
2019-08-01,10590
2019-09-01,9685
2019-10-01,9983
2019-11-01,9630
2019-12-01,8840
2020-01-01,9140
2020-02-01,10780
2020-03-01,9450
2020-04-01,6504
2020-05-01,10707
2020-06-01,11966
2020-07-01,12413
2020-08-01,12191
2020-09-01,11071
2020-10-01,10956
2020-11-01,9954
2020-12-01,9568
2021-01-01,10509
2021-02-01,11285
